1 ------  [ 421.87501 421.87501 420.96710 -312.50001 375.00000 421.87501 437.50001 -500.00000 -312.50001 437.50001 420.89844 375.00000 421.87501 421.87501 437.50001 421.87501 375.00000 421.87501 437.50001 437.50001 421.87501 420.95947 420.89844 421.87501 421.87501 406.25000 420.89844 421.87501 420.89844 421.87501  ]  ------ result: -11167.25425, -----  time: 2210.28563,

2 ------  [ -304.68751 375.00000 420.89844 421.87501 420.96874 -302.73438 420.95947 -500.00000 420.89844 421.87501 -312.50001 437.50001 437.50001 421.87501 -312.50001 421.87501 -302.73438 421.87501 420.89844 420.89844 420.89844 437.50001 437.50001 420.96853 437.50001 420.95947 -296.87500 421.87501 421.87501 421.87501  ]  ------ result: -11184.50173, -----  time: 2209.29481,

3 ------  [ 437.50001 -312.50001 437.50001 420.89844 -302.52494 420.96875 437.50001 -302.55128 420.96710 421.87501 437.50001 421.87501 420.96902 420.89844 -302.52457 420.96874 420.96902 -312.50001 421.87501 437.50001 -312.50001 437.50001 421.87501 421.02051 420.89844 421.87501 421.87501 420.89844 437.50001 -302.73438  ]  ------ result: -11462.39751, -----  time: 2220.25190,

4 ------  [ 420.96902 421.87501 420.95947 -302.73438 421.87501 375.00000 -302.73438 -302.73438 420.95947 -302.52494 420.96902 -312.50001 420.95947 437.50001 375.00000 437.50001 437.50001 -302.55128 437.50001 421.87501 420.89844 420.89844 421.87501 420.96878 421.87501 420.89844 420.95947 420.97474 421.87501 -302.49023  ]  ------ result: -11121.92563, -----  time: 2223.15039,

5 ------  [ 421.87501 421.87501 421.87501 375.00000 421.87501 -302.52075 421.87501 420.95947 -302.73438 437.50001 437.50001 421.02051 421.87501 421.87501 421.87501 421.87501 -312.50001 420.89844 420.96874 437.50001 421.87501 420.89844 421.87501 421.87501 420.89844 -296.87500 420.89844 -500.00000 -302.73438 -302.55128  ]  ------ result: -11265.73161, -----  time: 2220.76245,

6 ------  [ -312.50001 420.89844 421.87501 -312.50001 406.25000 -302.52839 420.95947 420.96902 420.89844 421.87501 420.89844 421.87501 421.87501 421.87501 421.87501 421.87501 437.50001 -302.73438 421.87501 -312.50001 -302.73438 420.96710 437.50001 421.87501 -302.52075 437.50001 420.89844 420.96710 421.87501 -302.52457  ]  ------ result: -11453.59848, -----  time: 2213.83643,

7 ------  [ 420.96902 420.95947 421.87501 421.87501 421.87501 -302.52505 437.50001 421.02051 421.87501 -302.52494 -304.68751 375.00000 -296.87500 -302.73438 -304.68751 420.95947 437.50001 420.89844 -302.52457 421.87501 420.96878 406.25000 420.96710 421.87501 420.89844 437.50001 420.89844 420.96710 437.50001 421.87501  ]  ------ result: -11336.48807, -----  time: 2233.68507,

8 ------  [ 420.89844 421.87501 421.87501 420.96902 437.50001 -312.50001 421.87501 437.50001 -312.50001 421.87501 421.87501 421.02051 421.87501 420.89844 420.96902 -304.68751 -296.87500 437.50001 421.87501 421.87501 375.00000 437.50001 420.96875 437.50001 421.87501 -302.73438 437.50001 -296.87500 420.89844 -302.52075  ]  ------ result: -11266.10290, -----  time: 2219.60566,

9 ------  [ -302.73438 421.87501 420.89844 421.02051 421.87501 421.87501 -302.73438 421.87501 421.87501 -296.87500 420.89844 437.50001 421.87501 375.00000 -312.50001 421.87501 420.96878 421.87501 375.00000 420.89844 420.95947 421.87501 420.95947 437.50001 -302.73438 437.50001 -302.49023 420.95947 421.87501 420.89844  ]  ------ result: -11270.16245, -----  time: 2215.15592,

10 ------  [ -302.52075 420.95947 421.87501 -302.73438 421.87501 421.02051 420.95947 -302.49023 421.87501 375.00000 421.87501 -302.52494 421.87501 421.87501 420.89844 420.89844 375.00000 420.95947 420.89844 421.87501 421.87501 420.96878 -304.68751 -302.52075 421.87501 -312.50001 421.87501 421.87501 -302.49023 420.89844  ]  ------ result: -11139.32841, -----  time: 2216.11825,

