1 ------  [ -296.87500 406.25000 421.02051 406.25000 406.25000 406.25000 406.25000 406.25000 406.25000 406.25000 -296.87500 406.25000 375.00000 406.25000 375.00000 406.25000 406.25000 406.25000 -296.87500 -312.50001 406.25000 406.25000 421.87501 375.00000 406.25000 437.50001 406.25000 406.25000 375.00000 406.25000  ]  ------ result: -10589.31341, -----  time: 1486.77805,

2 ------  [ 406.25000 406.25000 406.25000 375.00000 406.25000 406.25000 -296.87500 -296.87500 -312.50001 406.25000 406.25000 406.25000 406.25000 406.25000 -296.87500 375.00000 406.25000 406.25000 421.02051 -312.50001 406.25000 406.25000 406.25000 -312.50001 406.25000 -296.87500 406.25000 406.25000 406.25000 406.25000  ]  ------ result: -10680.60122, -----  time: 1471.91996,

3 ------  [ 375.00000 -304.68751 406.25000 -296.87500 -296.87500 -312.50001 406.25000 -500.00000 406.25000 437.50001 406.25000 406.25000 421.87501 406.25000 406.25000 406.25000 -312.50001 406.25000 406.25000 -312.50001 406.25000 406.25000 406.25000 406.25000 406.25000 406.25000 375.00000 421.87501 406.25000 406.25000  ]  ------ result: -10587.41955, -----  time: 1475.40658,

4 ------  [ 406.25000 406.25000 -312.50001 406.25000 406.25000 -296.87500 375.00000 406.25000 375.00000 -312.50001 406.25000 406.25000 -312.50001 406.25000 406.25000 406.25000 -296.87500 421.02051 -312.50001 406.25000 406.25000 -312.50001 406.25000 406.25000 406.25000 375.00000 406.25000 406.25000 421.02051 406.25000  ]  ------ result: -10483.08426, -----  time: 1496.67573,

5 ------  [ 406.25000 406.25000 406.25000 406.25000 406.25000 406.25000 406.25000 406.25000 406.25000 406.25000 406.25000 421.02051 406.25000 406.25000 -296.87500 406.25000 406.25000 406.25000 375.00000 -296.87500 406.25000 406.25000 406.25000 -312.50001 406.25000 421.02051 406.25000 421.87501 375.00000 406.25000  ]  ------ result: -11133.68864, -----  time: 1476.12543,

1 ------  [ 406.25000 406.25000 406.25000 -312.50001 -500.00000 406.25000 406.25000 406.25000 -296.87500 406.25000 406.25000 -296.87500 406.25000 375.00000 375.00000 -296.87500 406.25000 406.25000 -296.87500 421.02051 437.50001 -312.50001 406.25000 406.25000 406.25000 406.25000 406.25000 -312.50001 406.25000 406.25000  ]  ------ result: -10461.73795, -----  time: 1458.10818,

2 ------  [ 406.25000 406.25000 406.25000 406.25000 -296.87500 406.25000 375.00000 406.25000 421.02051 -300.78125 -296.87500 -312.50001 406.25000 406.25000 406.25000 -312.50001 375.00000 -312.50001 420.95947 406.25000 406.25000 406.25000 421.87501 406.25000 406.25000 406.25000 421.02051 406.25000 375.00000 -296.87500  ]  ------ result: -10557.50150, -----  time: 1459.43136,

3 ------  [ 406.25000 375.00000 421.87501 406.25000 406.25000 375.00000 -300.78125 -296.87500 406.25000 406.25000 406.25000 406.25000 406.25000 406.25000 406.25000 437.50001 406.25000 406.25000 406.25000 375.00000 421.02051 -312.50001 406.25000 406.25000 421.02051 406.25000 -296.87500 437.50001 406.25000 375.00000  ]  ------ result: -10612.48043, -----  time: 1465.93640,

4 ------  [ 406.25000 406.25000 406.25000 375.00000 406.25000 -296.87500 406.25000 406.25000 421.02051 406.25000 -296.87500 406.25000 375.00000 406.25000 406.25000 406.25000 375.00000 406.25000 406.25000 406.25000 421.87501 406.25000 406.25000 406.25000 406.25000 406.25000 406.25000 -296.87500 421.02051 -312.50001  ]  ------ result: -10830.83019, -----  time: 1465.81118,

5 ------  [ 406.25000 406.25000 437.50001 375.00000 406.25000 406.25000 -296.87500 406.25000 -312.50001 406.25000 406.25000 406.25000 -296.87500 406.25000 406.25000 375.00000 406.25000 406.25000 375.00000 406.25000 406.25000 406.25000 406.25000 406.25000 406.25000 406.25000 -296.87500 406.25000 -312.50001 -296.87500  ]  ------ result: -10543.22030, -----  time: 1496.74494,

